ts,pc_occupancy_raw,predicted_occupancy_rf,corrected_occupancy,co2_avg,co2_change_10min,temperature_avg,humidity_avg,open_windows,negative_pc_flag,large_jump_flag,large_disagreement_flag,inconsistency_flag
2025-09-01 00:10:00,0,0.0012785555755908363,0,416.0,,29.9,41.0,0,False,False,False,False
2025-09-01 00:20:00,0,0.0012785555755908363,0,416.0,0.0,29.8,41.0,0,False,False,False,False
2025-09-01 00:30:00,0,0.0012785555755908363,0,415.0,-1.0,29.8,41.0,0,False,False,False,False
2025-09-01 00:40:00,0,0.0012785555755908363,0,415.0,0.0,29.8,41.0,0,False,False,False,False
2025-09-01 00:50:00,0,0.009287651198048337,0,416.0,1.0,29.9,41.0,0,False,False,False,False
2025-09-01 01:00:00,0,0.00127469740684018,0,415.0,-1.0,29.8,41.0,0,False,False,False,False
2025-09-01 01:10:00,0,0.009280939148019142,0,416.0,1.0,29.8,41.0,0,False,False,False,False
2025-09-01 01:20:00,0,0.00127469740684018,0,415.0,-1.0,29.8,41.0,0,False,False,False,False
2025-09-01 01:30:00,0,0.00127469740684018,0,415.0,0.0,29.8,41.0,0,False,False,False,False
2025-09-01 01:40:00,0,0.00127469740684018,0,415.0,0.0,29.8,41.0,0,False,False,False,False
2025-09-01 01:50:00,0,0.00127469740684018,0,414.0,-1.0,29.8,41.0,0,False,False,False,False
2025-09-01 02:00:00,0,0.0012816539285793105,0,414.0,0.0,29.8,41.0,0,False,False,False,False
2025-09-01 02:10:00,0,0.0012816539285793105,0,414.0,0.0,29.8,41.0,0,False,False,False,False
2025-09-01 02:20:00,0,0.0012816539285793105,0,414.0,0.0,29.8,41.0,0,False,False,False,False
2025-09-01 02:30:00,0,0.0012816539285793105,0,414.0,0.0,29.8,41.0,0,False,False,False,False
2025-09-01 02:40:00,0,0.009287895669758274,0,415.0,1.0,29.8,41.0,0,False,False,False,False
2025-09-01 02:50:00,0,0.0012816539285793105,0,415.0,0.0,29.8,41.0,0,False,False,False,False
2025-09-01 03:00:00,0,0.009299690098474266,0,416.0,1.0,29.8,41.0,0,False,False,False,False
2025-09-01 03:10:00,0,0.009299690098474266,0,417.0,1.0,29.8,41.0,0,False,False,False,False
2025-09-01 03:20:00,0,0.0012934483572953038,0,417.0,0.0,29.8,41.0,0,False,False,False,False
2025-09-01 03:30:00,0,0.0012934483572953038,0,416.0,-1.0,29.8,41.0,0,False,False,False,False
2025-09-01 03:40:00,0,0.0012934483572953038,0,414.0,-2.0,29.8,41.0,0,False,False,False,False
2025-09-01 03:50:00,0,0.017920286361118188,0,416.0,2.0,29.8,41.0,0,False,False,False,False
2025-09-01 04:00:00,0,0.009348052413907217,0,417.0,1.0,29.8,41.0,0,False,False,False,False
2025-09-01 04:10:00,0,0.0013418106727282539,0,415.0,-2.0,29.8,41.0,0,False,False,False,False
2025-09-01 04:20:00,0,0.03710861161144281,0,418.0,3.0,29.7,41.0,0,False,False,False,False
2025-09-01 04:30:00,0,0.0013418106727282539,0,417.0,-1.0,29.8,41.0,0,False,False,False,False
2025-09-01 04:40:00,0,0.0013418106727282539,0,417.0,0.0,29.8,41.0,0,False,False,False,False
2025-09-01 04:50:00,0,0.0013722058095063693,0,416.0,-1.0,29.8,41.0,0,False,False,False,False
2025-09-01 05:00:00,0,0.004173589889994437,0,416.0,0.0,29.8,41.0,0,False,False,False,False
2025-09-01 05:10:00,0,0.004173589889994437,0,415.0,-1.0,29.8,41.0,0,False,False,False,False
2025-09-01 05:20:00,0,0.004173589889994437,0,415.0,0.0,29.8,41.0,0,False,False,False,False
2025-09-01 05:30:00,0,0.004173589889994437,0,415.0,0.0,29.8,41.0,0,False,False,False,False
2025-09-01 05:40:00,0,0.004173589889994437,0,415.0,0.0,29.8,41.0,0,False,False,False,False
2025-09-01 05:50:00,0,0.004173589889994437,0,415.0,0.0,29.9,40.5,0,False,False,False,False
2025-09-01 06:00:00,0,0.008835425142594508,0,415.0,0.0,29.9,40.5,0,False,False,False,False
2025-09-01 06:10:00,0,0.008849855157024524,0,414.0,-1.0,29.9,40.5,0,False,False,False,False
2025-09-01 06:20:00,0,0.008835425142594508,0,414.0,0.0,29.9,40.5,0,False,False,False,False
2025-09-01 06:30:00,0,0.008835425142594508,0,414.0,0.0,29.9,40.5,0,False,False,False,False
2025-09-01 06:40:00,0,0.01780384509833161,0,415.0,1.0,29.9,40.5,0,False,False,False,False
2025-09-01 06:50:00,0,0.12049388429012796,0,416.0,1.0,30.0,40.5,0,False,False,False,False
2025-09-01 07:00:00,0,0.014015273911537153,0,416.0,0.0,30.0,40.5,0,False,False,False,False
2025-09-01 07:10:00,0,0.006263623157253915,0,416.0,0.0,30.0,40.5,0,False,False,False,False
2025-09-01 07:20:00,0,0.006263623157253915,0,416.0,0.0,30.0,40.5,0,False,False,False,False
