ts,co2,temperature,humidity,light_level,pir,people_count_all,people_count_max,region_count,open_windows_all
2025-09-01 14:40:00,544.0,29.9,37.5,1.0,0,0,2,0,1
2025-09-01 14:50:00,544.0,29.9,37.5,1.0,1,0,2,0,1
2025-09-01 15:00:00,543.0,29.9,37.5,1.0,0,0,2,0,1
2025-09-01 15:10:00,543.0,29.9,37.5,1.0,0,0,2,0,1
2025-09-01 15:20:00,544.0,29.9,37.5,1.0,0,0,2,0,1
2025-09-01 15:30:00,544.0,29.9,37.5,1.0,0,0,2,0,1
2025-09-01 15:40:00,545.0,29.9,38.0,1.0,0,0,2,0,1
2025-09-01 15:50:00,545.0,29.8,38.0,1.0,0,0,1,0,1
2025-09-01 16:00:00,546.0,29.9,38.0,1.0,0,0,1,0,1
2025-09-01 16:10:00,546.0,29.9,38.5,1.0,0,0,1,0,1
2025-09-01 16:20:00,546.0,29.9,38.5,0.0,0,0,1,0,1
2025-09-01 16:30:00,547.0,29.8,38.5,0.0,0,0,1,0,1
2025-09-01 16:40:00,547.0,29.8,38.5,0.0,0,0,1,0,1
2025-09-01 16:50:00,548.0,29.8,38.5,0.0,0,0,1,0,1
2025-09-01 17:00:00,549.0,29.8,39.0,0.0,0,0,1,0,1
2025-09-01 17:10:00,548.0,29.8,39.0,0.0,0,0,1,0,1
2025-09-01 17:20:00,547.0,29.8,39.0,0.0,0,0,1,0,1
2025-09-01 17:30:00,545.0,29.8,39.5,0.0,0,0,1,0,1
2025-09-01 17:40:00,543.0,29.8,39.5,0.0,0,0,1,0,1
2025-09-01 17:50:00,541.0,29.8,40.0,0.0,0,0,1,0,1
2025-09-01 18:00:00,540.0,29.8,40.0,0.0,0,0,1,0,1
2025-09-01 18:10:00,538.0,29.8,40.5,0.0,0,0,1,0,1
2025-09-01 18:20:00,535.0,29.8,40.5,0.0,0,0,1,0,1
2025-09-01 18:30:00,533.0,29.8,40.5,0.0,0,0,1,0,1
2025-09-01 18:40:00,533.0,29.8,40.5,0.0,0,0,1,0,1
2025-09-01 18:50:00,531.0,29.7,40.5,0.0,0,0,0,0,1
2025-09-01 19:00:00,527.0,29.8,41.0,0.0,0,0,0,0,1
2025-09-01 19:10:00,525.0,29.8,41.0,0.0,0,0,0,0,1
2025-09-01 19:20:00,523.0,29.7,41.0,0.0,0,0,0,0,1
2025-09-01 19:30:00,520.0,29.7,41.5,0.0,0,0,0,0,1
2025-09-01 19:40:00,516.0,29.7,41.5,0.0,0,0,0,0,1
2025-09-01 19:50:00,514.0,29.7,42.0,0.0,0,0,0,0,1
2025-09-01 20:00:00,514.0,29.7,42.0,0.0,0,0,0,0,1
2025-09-01 20:10:00,513.0,29.7,42.0,0.0,0,0,0,0,1
2025-09-01 20:20:00,510.0,29.7,42.5,0.0,0,0,0,0,1
2025-09-01 20:30:00,505.0,29.7,42.5,0.0,0,0,0,0,1
2025-09-01 20:40:00,503.0,29.7,42.5,0.0,0,0,0,0,1
2025-09-01 20:50:00,501.0,29.7,42.5,0.0,0,0,0,0,1
2025-09-01 21:00:00,500.0,29.8,42.5,0.0,0,0,0,0,1
2025-09-01 21:10:00,499.0,29.7,43.0,0.0,0,0,0,0,1
2025-09-01 21:20:00,497.0,29.7,43.0,0.0,0,0,0,0,1
2025-09-01 21:30:00,493.0,29.7,43.0,0.0,0,0,0,0,1
2025-09-01 21:40:00,490.0,29.7,43.5,0.0,0,0,0,0,1
2025-09-01 21:50:00,490.0,29.7,43.5,0.0,0,0,0,0,1
2025-09-01 22:00:00,488.0,29.7,43.5,0.0,0,0,0,0,1
2025-09-01 22:10:00,485.0,29.7,43.5,0.0,0,0,0,0,1
2025-09-01 22:20:00,482.0,29.7,43.5,0.0,0,0,0,0,1
2025-09-01 22:30:00,478.0,29.7,44.0,0.0,0,0,0,0,1
2025-09-01 22:40:00,473.0,29.7,44.0,0.0,0,0,0,0,1
2025-09-01 22:50:00,471.0,29.7,44.0,0.0,0,0,0,0,0
2025-09-01 23:00:00,471.0,29.7,44.0,0.0,0,0,0,0,0
2025-09-01 23:10:00,470.0,29.7,44.0,0.0,0,0,0,0,0
2025-09-01 23:20:00,470.0,29.7,44.0,0.0,0,0,0,0,0
2025-09-01 23:30:00,469.0,29.7,44.0,0.0,0,0,0,0,0
2025-09-01 23:40:00,469.0,29.7,44.0,0.0,0,0,0,0,0
2025-09-01 23:50:00,468.0,29.7,44.0,0.0,0,0,0,0,0
2025-09-02 00:00:00,466.0,29.7,44.0,0.0,0,0,0,0,0
2025-09-02 00:10:00,464.0,29.7,44.0,0.0,0,0,0,0,0
2025-09-02 00:20:00,461.0,29.7,44.0,0.0,0,0,0,0,0
2025-09-02 00:30:00,461.0,29.7,44.0,0.0,0,0,0,0,0
2025-09-02 00:40:00,461.0,29.7,44.0,0.0,0,0,0,0,0
2025-09-02 00:50:00,459.0,29.7,43.5,0.0,0,0,0,0,0
2025-09-02 01:00:00,458.0,29.7,43.5,0.0,0,0,0,0,0
2025-09-02 01:10:00,457.0,29.7,43.5,0.0,0,0,0,0,0
2025-09-02 01:20:00,456.0,29.7,43.5,0.0,0,0,0,0,0
2025-09-02 01:30:00,453.0,29.6,43.0,0.0,0,0,0,0,0
2025-09-02 01:40:00,452.0,29.7,43.0,0.0,0,0,0,0,0
2025-09-02 01:50:00,450.5,29.7,43.0,0.0,0,0,0,0,0
2025-09-02 02:00:00,449.0,29.7,43.0,0.0,0,0,0,0,0
2025-09-02 02:10:00,449.0,29.7,42.5,0.0,0,0,0,0,0
2025-09-02 02:20:00,449.0,29.7,42.5,0.0,0,0,0,0,0
2025-09-02 02:30:00,449.0,29.6,42.5,0.0,0,0,0,0,0
2025-09-02 02:40:00,450.0,29.6,42.5,0.0,0,0,0,0,0
2025-09-02 02:50:00,450.0,29.6,42.5,0.0,0,0,0,0,0
2025-09-02 03:00:00,449.5,29.6,42.5,0.0,0,0,0,0,0
2025-09-02 03:10:00,450.0,29.6,42.0,0.0,0,0,0,0,0
2025-09-02 03:20:00,448.0,29.6,42.0,0.0,0,0,0,0,0
2025-09-02 03:30:00,449.0,29.6,42.0,0.0,0,0,0,0,0
2025-09-02 03:40:00,448.0,29.6,42.5,0.0,0,0,0,0,0
2025-09-02 03:50:00,447.0,29.6,42.5,0.0,0,0,0,0,0
2025-09-02 04:00:00,448.0,29.6,42.0,0.0,0,0,0,0,0
2025-09-02 04:10:00,448.0,29.6,42.0,0.0,0,0,0,0,0
2025-09-02 04:20:00,448.0,29.6,42.0,0.0,0,0,0,0,0
2025-09-02 04:30:00,447.0,29.6,42.0,1.0,0,0,0,0,0
2025-09-02 04:40:00,448.0,29.6,42.5,1.0,0,0,0,0,0
2025-09-02 04:50:00,448.0,29.6,42.5,1.0,0,0,0,0,0
2025-09-02 05:00:00,448.0,29.6,42.0,1.0,0,0,0,0,0
2025-09-02 05:10:00,449.0,29.7,42.0,1.0,0,0,0,0,0
2025-09-02 05:20:00,449.0,29.6,42.0,1.0,0,0,0,0,0
2025-09-02 05:30:00,450.0,29.7,42.0,1.0,0,0,0,0,0
